Grade-7,Skill-Evaluating,Skill-Remembering,Skill-Understanding,Strand-Living Things and Their Environment (G7),Strand-Scientific Investigation (G7),SubStrand-Human Reproductive System,SubStrand-Introduction to Integrated Science,SubStrand-Laboratory Apparatus and Instruments,id,student_id,student_name,avg_score,completion_rate,class_avg_difference,avg_expectation_level,best_5_answer_ids,worst_5_answer_ids
187.5,75.0,100.0,100.0,100.0,87.5,100.0,75.0,100.0,11,1,Grace Wanjiru,91.67,100.0,23.49,Exceeding,"[44, 43, 45]","[45, 43, 44]"
137.5,50.0,75.0,75.0,75.0,62.5,75.0,50.0,75.0,12,2,Kevin Omondi,66.67,100.0,-1.51,Meeting,"[47, 46, 48]","[48, 46, 47]"
200.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,13,3,Faith Mwikali,100.0,100.0,31.82,Exceeding,"[42, 41, 40]","[40, 41, 42]"
125.0,50.0,75.0,50.0,75.0,50.0,75.0,50.0,50.0,14,4,Brian Otieno,58.33,100.0,-9.85,Approaching,"[35, 36, 34]","[34, 36, 35]"
187.5,75.0,100.0,100.0,100.0,87.5,100.0,75.0,100.0,15,5,Linet Cherono,91.67,100.0,23.49,Exceeding,"[50, 49, 51]","[51, 49, 50]"
125.0,50.0,75.0,50.0,75.0,50.0,75.0,50.0,50.0,16,6,Moses Kipkoech,58.33,100.0,-9.85,Approaching,"[53, 54, 52]","[52, 54, 53]"
187.5,75.0,100.0,100.0,100.0,87.5,100.0,75.0,100.0,17,7,Aisha Ali,91.67,100.0,23.49,Exceeding,"[32, 31, 33]","[33, 31, 32]"
137.5,50.0,75.0,75.0,75.0,62.5,75.0,50.0,75.0,18,8,Wycliffe Mwangi,66.67,100.0,-1.51,Meeting,"[62, 61, 63]","[63, 61, 62]"
125.0,50.0,75.0,50.0,75.0,50.0,75.0,50.0,50.0,19,9,Sharon Njeri,58.33,100.0,-9.85,Approaching,"[59, 60, 58]","[58, 60, 59]"
75.0,25.0,50.0,25.0,50.0,25.0,50.0,25.0,25.0,20,10,Elijah Kibet,33.33,100.0,-34.85,Below,"[38, 39, 37]","[37, 39, 38]"
75.0,25.0,50.0,25.0,50.0,25.0,50.0,25.0,25.0,21,11,Peter Mwangi,33.33,100.0,-34.85,Below,"[56, 57, 55]","[55, 57, 56]"
