student_name,Grade7Term1Score,Grade7Term2Score,Grade7Term3Score,Grade8Term1Score,Grade8Term2Score,Grade8Term3Score,Grade9Term1Score,Grade9Term2Score,Grade9Term3Score
Grace Wanjiru,88,89,91,90,92,,,,,
Kevin Omondi,68,65,63,66,64,,,,,
Faith Mwikali,95,96,97,98,99,,,,,
Brian Otieno,48,44,46,49,45,,,,,
Linet Cherono,82,85,83,87,86,,,,,
Moses Kipkoech,56,54,55,57,58,,,,,
Aisha Ali,92,94,93,95,96,,,,,
Wycliffe Mwangi,72,74,73,70,71,,,,,
Sharon Njeri,36,38,35,34,37,,,,,
Elijah Kibet,28,25,27,26,29,,,,,
Peter Mwangi,18,22,20,19,21,,,,,
